title	author	genre	pages	language	country	publisher
Državna Tajna	semir halilović	non-fiction	302pp (first edition, paperback)		bosnia and herzegovina	matica
Gray Lensman	edward e. smith, ph.d.	science fiction novel	306		united states	fantasy press
The Philosophical Corps	everett b. cole	science fiction novel	187 pp		united states	gnome press
Prince Otto	robert louis stevenson	novel	288		scotland	chatto and windus
Exile (Forgotten Realms novel)	r. a. salvatore	fantasy novel	320		united states	tsr
Mayyazhippuzhayude Theerangalil	m. mukundan	fiction	304		india	dc books
My Son Marshall, My Son Eminem	debbie nelson	non-fiction			united states	phoenix books
Everything Good Will Come	sefi atta	fiction	336 pages		nigeria	
Leaving the Atocha Station	ben lerner	novel	181 pp		united states	coffee house press
Soldier of Sidon	gene wolfe	fantasy	319		united states	tor
Earth Unaware	orson scott card and aaron johnston	science fiction	352 (hardcover)		united states	tor books
Well-Tempered Clavicle	piers anthony	fantasy novel	320		united states	tor books
Wadzeks Kampf mit der Dampfturbine	alfred döblin	novel			germany	fischer verlag
Islay (novel)	douglas bullard	novel	337 pp		united states	t.j. publishers inc.
Professor Dowell's Head	alexander belyayev	science fiction	157			macmillan publishing
Beyond the Barrier	damon knight	science fiction	188 pp		united states	doubleday
Peace (novel)	gene wolfe	fantasy	264			harper  &  row
Spirit of the Wind (novel)	chris pierson	fantasy novel			united states	tsr, inc.
Dezra's Quest	chris pierson	fantasy novel			united states	tsr, inc.
Sacred Fire (novel)	chris pierson	fantasy novel			united states	
Shadow of the Flame	chris pierson	fantasy novel			united states	
Quest for Lost Heroes	david gemmell	fantasy	316 (paperback)		united kingdom	legend books
Dickon (novel)	marjorie bowen	novel	320 p. (hardback edition)		united states	hodder  &  stoughton
The Time Dweller	michael moorcock	science fiction	176 pp		united kingdom	robert hale
Domnei: A Comedy of Woman-Worship	james branch cabell	fantasy novel	216 pp		united states	frederick a. stokes
CV (novel)	damon knight	science fiction	285		united states	tom doherty
Disco 2000 (anthology)	sarah champion (editor)	science fiction	364 pp		united kingdom	sceptre
Wireless: The Essential Charles Stross	charles stross	science fiction	384 pp		united kingdom	orbit books
Solo (Mason novel)	robert mason	science fiction			united states	putnam (1st edition)
The Quantum Universe	brian cox, jeff forshaw	non-fiction	272 pp.		united kingdom	allen lane
Blitzcat	robert westall	historical novel	231 pp (1st edition)		united kingdom	macmillan
Emma in Winter	penelope farmer	children's novel	160 pp (chatto  &  windus first edition, hardback)		united kingdom	chatto  &  windus (uk); harcourt (usa)
The Miracle of Castel di Sangro	joe mcginniss	non-fiction	407		united states	little, brown and company
You Can't Live Forever	harold q. masur	crime novel	213			simon and schuster
Unleashing Nepal	sujeev shakya	non-fiction			nepal	penguin books india
Child of a Dream	valerio massimo manfredi	historical novel	434 pp		italy	mondadori (italy)   pan books (uk)
The Elements of Influence	alan d. kelly	non-fiction	352		united states	dutton (hardcover)  plume (paperback)
The Sands of Ammon	valerio massimo manfredi	historical novel	418 pp		italy	mondadori (italy)  pan books (uk)
The Ends of the Earth (novel)	valerio massimo manfredi	historical novel	577 pp		italy	mondadori (italy)   pan books (uk)
Spartan (book)	valerio massimo manfredi	historical novel			italy	mondadori (italy)   pan books (uk)
Rising Tide (Forgotten Realms novel)	mel odom	novel			united states	
Sisterhood of Dune		science fiction	496		united states	tor books
The Fiery Trial	eric foner	non-fiction	448		united states	w. w. norton  &  company
The Shield Ring	rosemary sutcliff	historical novel	213		united kingdom	oup
Turpentine Jake	linda bannister and james e. hurd, jr.	non-fiction	129 (paperback edition)		united states	marymount institute press and tsehai publishers
The Orphan Master's Son	adam johnson	fiction	443 pp.		united states	random house
Star Wars: Darth Plagueis	james luceno	science fiction	496		united states	del rey
The Dragon's Tooth	n.d. wilson	fantasy	485		united states	random house
The Summer Birds	penelope farmer	children's novel			united kingdom	chatto  &  windus (uk)  harcourt brace (us)
The Black Rose (novel)	thomas b. costain	historical novel	208		united states	doubleday, doran  &  co., inc
The Map of Time	félix j. palma	science fiction	720		spain	
Parasite Pig	william sleator	science fiction			united states	
Arrhythmia (novel)	alice zorn	novel	315		canada	newest press
Child of Fortune	norman spinrad	science fiction novel	467 (hardcover)		united states	bantam books
The Descendants (novel)	kaui hart hemmings	fiction	304 (first edition)		united states	random house
The Three Leaps of Wang Lun	alfred döblin	historical novel	490		germany	s. fischer
The Concerns of a Citizen	george w. romney	non-fiction	288 pp (first edition)		united states	putnam publishing group
Tales of a Long Night	alfred döblin	novel			germany	rütten  &  loening, east berlin
Poison (Wooding novel)	chris wooding	fiction	273		united kingdom	scholastic ltd.
Finger Lickin' Fifteen	janet evanovich	crime novel			united states	st. martin's press
November 1918: A German Revolution	alfred döblin	historical novel			germany	
Write Away	elizabeth george	non-fiction			united states	
The Twilight of Briareus	""" richard cowper ""  (john middleton murry, jr.)"	science fiction novel	255		united kingdom	gollancz
Payment in Blood	elizabeth george	crime novel			united states	
The Black Box (novel)	michael connelly	crime novel	560 pp.		united states	little, brown and company
Midst Toil and Tribulation	david weber	science fiction			united states	tor books  macmillan web site
Der Wehrwolf	hermann löns	novel			germany	
The World of Ice  &  Fire		fantasy	326		united states	bantam
The Shape of Sola Scriptura	dr. keith mathison  http://www.theopedia.com/keith_mathison   http://www.ligonier.org/reformation-study-bible/contributors/	non-fiction	366			canon press
Mars Life	ben bova	science fiction	432 (hardcover edition)			tor books
Charon's Claw (novel)	r. a. salvatore	fantasy novel	352		united states	wizards of the coast
Inner City Blues (novel)	paula l. woods	crime novel			united states	w. w. norton  &  company
First on the Moon (1970 book)	neil armstrong, michael collins and edwin e. (buzz) aldrin jr., with gene farmer and dora jane hamblin. epilogue by arthur c clarke.	non-fiction	434			little, brown and company
The Questionnaire (Gruša novel)	jiří gruša	novel	278 pp		czech republic	
Frode og alle de andre rødder	ole lund kirkegaard	children's novel			denmark	gyldendal
Perfect Nightmare (novel)	john saul	novel	365			ballantine books
The Orchids of the Philippines	jim cootes	non-fiction			philippines	timber press, incorporated
The Manhattan Hunt Club	john saul	novel	313 (first edition)			ballantine books
Midnight Voices	john saul	novel				ballantine books
The Devil's Labyrinth	john saul	novel	352		united states	ballantine books
Faces of Fear (Saul novel)	john saul	novel	324			ballantine books
House of Reckoning	john saul	novel	291			ballantine books
Suffer the Children (novel)	john saul	novel				dell publishing
Punish the Sinners	john saul	novel				
Witches Incorporated	k. e. mills	fantasy novel			australia	orbit books
The Accidental Sorcerer	k. e. mills	fantasy novel	560 pp (first edition)		australia	orbit books
Entwined (novel)	heather dixon	fantasy	472		united states	greenwillow books
Kaytek the Wizard	janusz korczak	children's novel	272 (2012 hardcover edition)		poland	penlight publications (2012 us edition)
Quiet: The Power of Introverts in a World That Can't Stop Talking	susan cain	non-fiction	333 pages (hardcover)		united states	crown publishing group
Please Look After Mom	kyung-sook shin	novel			south korea	changbi
The Hydrogen Sonata	iain m. banks	science fiction novel	528 (hardcover)		scotland	orbit
Double Jeopardy (novel)	fletcher pratt	science fiction	214 pp		united states	doubleday
Witches Three	edited by fletcher pratt	fantasy	423 pp		united states	twayne
Runelight	joanne harris	fantasy novel			united kingdom	doubleday
Satori (Winslow novel)	don winslow	historical novel	504 pages		united states	grand central publishing
The Phoenix and the Mirror	avram davidson	fantasy	209 pp		united states	ace books
Comical History of the States and Empires of the Moon	cyrano de bergerac	science fiction			france	
Winter Warriors	david gemmell	fantasy novel			united kingdom	bantam press
The Undying Fire (Pratt novel)	fletcher pratt	science fiction	148 pp		united states	ballantine books
Invaders from Rigel	fletcher pratt	science fiction	224		united states	avalon books
Mondomanila (novel)	norman wilwayco	novel	198		philippines	automatic writings
The Family Corleone	ed falco	crime novel	448		united states	grand central publishing
Windy McPherson's Son	sherwood anderson	novel	347		united states	john lane company, new york
The Fractal Prince	hannu rajaniemi	science fiction novel	448		united kingdom	gollancz
Drift: The Unmooring of American Military Power	rachel maddow	non-fiction	288		united states	crown publishing group
The Two Hearts of Kwasi Boachi	arthur japin	historical novel				arbeiderspers (netherlands)  knopf (united states)
The Siege (Dunmore novel)	helen dunmore	historical novel	293 pp		united kingdom	viking
Seeing Calvin Coolidge in a Dream	john derbyshire	fiction	273		united states	
Bollywood Striptease	neeta shah	fiction	208		india	rupa  &  co.
Searching for Whitopia	rich benjamin	non-fiction	354 pages		united states	hyperion books
Beneath the Gated Sky	robert reed	science fiction novel			united states	
Tortall and Other Lands	tamora pierce	fantasy	400		united states	bluefire
Operation Trojan Horse (book)	john keel	non-fiction	349		united states	putnam
Three Filipino Women	f. sionil josé	fiction			philippines	random house
On the Road (Jimmie Johnson)	jimmie johnson  chandra johnson	non-fiction	208		united states	self-published
The Pagan Lord	bernard cornwell	historical novel	303 pp (hardback edition)		united kingdom	harpercollins
All Over Creation	ruth l. ozeki	novel	433  (second edition)		united states	penguin
Chinese Shadows	pierre ryckmans (simon leys)	non-fiction	220 pp		united states	viking press
Five Billion Years of Solitude	lee billings	non-fiction	304 pp.		united states	current, a member of penguin group
Mentats of Dune		science fiction	448		united states	tor books
How Civilizations Die	david p. goldman	non-fiction	256		united states	regnery publishing
50 Signs of Mental Illness	james whitney hicks	non-fiction	416			yale university press
Black Star Nairobi	mukoma wa ngugi	novel	272 pp (first edition)		united states	melville crime international
Angélique and the King	anne golon  &  serge golon	historical novel			france	trévise  &  colbert
Battleborn (short story collection)	claire vaye watkins	fiction			united states	riverhead books
The Year's Best Science Fiction: Thirtieth Annual Collection		science fiction	xlii, 654 pp		united states	st. martin's griffin
Doctor Dolittle's Puddleby Adventures	hugh lofting	children's novel			united kingdom	j. b. lippincott  &  co.
Iconoclast: A Neuroscientist Reveals How to Think Differently	gregory berns	non-fiction	250 pp		united states	harvard business press
Rigged (book)	ben mezrich	non-fiction	294 pp.		united states	harperluxe
The Long Tail (book)	chris anderson	non-fiction	256 pp.		united states	hyperion
The Last Boer War	h. rider haggard	non-fiction			united kingdom	
The Unknown (1963 anthology)	edited by  d. r. bensen	fantasy	192 pp		united states	pyramid books
The Unknown Five	edited by  d. r. bensen	fantasy	190 pp		united states	pyramid books
Unknown Worlds: Tales from Beyond		fantasy	517 pp		united states	galahad books
Chain Saw Confidential	gunnar hansen	non-fiction	240 pages		united states	
The Emperor's Soul	brandon sanderson	fantasy	175		united states	
Nature, Culture and Gender		non-fiction	about 240		cambridge, england	
Exploration and Empire	william h. goetzmann	non-fiction			u.s.	alfred a. knopf
The Greenback Era	irwin unger	non-fiction	467		united states	acls history e-book project and princeton university press
A History of the Civil War, 1861–1865	james ford rhodes	non-fiction	528		u.s.	dover publications
Promise of Blood	brian mcclellan	fantasy	545 pp		united states	orbit books
Ancillary Justice	ann leckie	science fiction	409		united states	orbit books
Tris McCall	tris mccall	fiction	302 pp.			schrafft books
The Shattered Mask	richard lee byers	fantasy novel			united states	
The Edge of Tomorrow (Asimov book)	edited by isaac asimov	science fiction	462		united states	tor books
Baramulla Bomber	clark prasad	fiction	328			niyogi books india
Gun Control in the Third Reich (book)	stephen p. halbrook	non-fiction	364 pp		united states	the independent institute
Technological Revolutions and Financial Capital	carlota perez	non-fiction	224 pp		united states	
The Control Revolution	james r. beniger	non-fiction	508 pp		united states	harvard university press
The Asimov Chronicles: Fifty Years of Isaac Asimov	edited by isaac asimov	science fiction	678		united states	dark harvest
La Vermine du Lion	francis carsac	science fiction	251 pp		france	fleuve noir
Watching the Climbers on the Mountain	alex miller	novel	266 pp		australia	allen  &  unwin, australia
The Tivington Nott	alex miller	novel	167 pp		australia	allen  &  unwin, australia
The Unbearable Lightness of Being a Prawn Cracker	will self	novel	50pp		united kingdom	penguin
The Late Scholar	jill paton walsh	crime novel			united kingdom	hodder  &  stoughton
Tatiana (novel)	martin cruz smith	crime novel	304 pp (hardback edition)		united states	simon  &  schuster, macmillan
The Dwelling-Place of Light	winston churchill	novel	462		united states	macmillan
Goodbye, Janette	harold robbins	novel	382 pp (hardback edition)		united states	simon  &  schuster (u.s.) / u.k. ?
The Tower of the Swallow	andrzej sapkowski	fantasy	464		poland	
The Lady of the Lake (Sapkowski novel)	andrzej sapkowski	fantasy	544		poland	
The Days of Anna Madrigal	armistead maupin	novel	288		united states	harpercollins
Red Rising	pierce brown	science fiction	382		united states	del rey books (us)
Crisis (novel by Jorge Majfud)	jorge majfud	novel				
Chronicles of Chaos (fantasy trilogy)	john c. wright	fantasy novel			united states	tor books
The Fire Chronicle	john stephens	fantasy	448		united states	alfred a. knopf
The Werewolf Principle	clifford d. simak	science fiction novel	216 pp		united states	putnam publishing
The Black Wheel	hannes bok	fantasy	115  (oversize)		united states	new collectors group
How Sex Works	sharon moalem	non-fiction	288 pp (hardback edition)		united states	harper
The Martian (Weir novel)	andy weir	science fiction	369		united states	
Duty: Memoirs of a Secretary at War	robert m. gates	non-fiction	618		united states	alfred a. knopf
Four for Tomorrow	roger zelazny	science fiction	191 pp (first edition, paperback)		united states	ace books
A Death of Honor	joe clifford faust	science fiction	326		united states	del rey books
Angel's Luck	joe clifford faust	science fiction	246		united states	del rey books
The Temptation of Elminster	ed greenwood	fantasy novel			united states	
Elminster Enraged	ed greenwood	fantasy novel			united states	
Boomerang: Travels in the New Third World	michael lewis	non-fiction	224 pp.		united states	w. w. norton  &  company
Mistborn: Shadows of Self	brandon sanderson	fantasy novel	383 pp		united states	tor books
The Pollinators of Eden	john boyd	science fiction	212		united states	weybright  &  talley, new york
Lost Everything	brian francis slattery	science fiction	304			
Angry Blonde	eminem	non-fiction	160		united states	harperentertainment
The Office of Mercy	ariel djanikian	science fiction	320		united states	penguin books
Tangsir (novel)	sadeq chubak	fiction	232		iran	negah publications
Raiders of the Nile	steven saylor	historical novel	352 pp		united states	st. martin's press
Gunner Cade	cyril judd	science fiction	218 pp		united states	simon  &  schuster
Time of Trial	hester burton	children's novel	216 pp		united kingdom	oxford university press
Lies of Light		fantasy novel			united states	
Darkvision (novel)	bruce cordell	fantasy novel			united states	
Blood and Honor (novel)		fantasy novel			united states	
The Binding Stone		fantasy novel			united states	
The Grieving Tree		fantasy novel			united states	
The Killing Song		fantasy novel			united states	
Legacy of Wolves		fantasy novel			united states	
Bound by Iron		fantasy novel			united states	
The Circus Is Coming	noel streatfeild	children's novel	314 pp		united kingdom	j m dent  &  sons
Template (novel)	matthew hughes	science fiction				p.s. publishing
Why Call Them Back from Heaven?	clifford d. simak	science fiction			united states	doubleday/ace
The Sixth Man (novel)	david baldacci	fiction	417 (hardcover edition)		united states	grand central publishing
Flash Boys	michael lewis	non-fiction	288 pp.		united states	w. w. norton  &  company
Forced Marriage (book)	abu sadik maruf	non-fiction	116		united kingdom	authorhouseuk
Samech Vov	rabbi sholom dovber schneersohn, the fifth rebbe of chabad	non-fiction	966 (emended hardcover edition)			
Toward a Meaningful Life	simon jacobson	non-fiction			united states	
Shadow on the Hearth	judith merril	science fiction	277		united states	doubleday books
What We Talk About When We Talk About Anne Frank	nathan englander	fiction	224 pages		united states	knopf
Panic: The Story of Modern Financial Insanity	michael lewis	non-fiction	400 pp.		united states	w. w. norton  &  company
Washington's Spies: The Story of America's First Spy Ring	alexander rose	non-fiction	384 pp (first edition)		united states	bantam books
Adultery (novel)	paulo coelho	fiction	272			
Ayin Beis	rabbi sholom dovber schneersohn, the fifth rebbe of chabad	non-fiction				
A Well-Trained Stray	muhammad aladdin	novel	125 pp (first ar. edition, paperback)		egypt	elain publishing house
Slaves in Their Bonds (novel)	konstantinos theotokis	novel				
Tree of Life (novel)	maryse condé	novel	371 pp (first edition, hardback)		united states	ballantine books
Cibola Burn	james s. a. corey	science fiction	591		united states	orbit books
The Wee Fellas	richard maitland (ken houston)	novel	214		united kingdom	lulu (hardcover)  amazon (kindle)
John Needham's Double	joseph hatton	novel	208 pp			john  &  robert maxwell (u.k.) / harper (u.s.)
Toms River (book)	dan fagin	non-fiction	560		united states	bantam
The Divide: American Injustice in the Age of the Wealth Gap	matt taibbi	non-fiction	448 pp.		united states	spiegel  &  grau
Livre d'emma	marie-celie agnant	novel	167 pp (paperback edition)		canada	heinemann
The Island Queen (novel)	r.m. ballantyne	novel	136		england	j. nisbet
The Evolutionary Void	peter f. hamilton	science fiction	726 (tall paper back)		united kingdom	pan macmillan (uk), del rey (us)
Barfing in the Backseat: How I Survived My Family Road Trip	henry winkler and lin oliver	children's novel	151 pp		united states	grosset  &  dunlap
The Emperor's Games	damion hunter	historical novel	369 pp (paperback edition)		united states	ballantine books; new ed edition (january 12, 1984)
The Efficiency Expert (novel)	edgar rice burroughs	novel	84 pp.		united states	house of greystoke
Whitechapel Gods	s. m. peters	science fiction	384		united states	
The Dragon of Despair	jane lindskold	fantasy novel			united states	tor fantasy
Wolf Captured	jane lindskold	fantasy novel			united states	tor fantasy
Wolf Hunting	jane lindskold	fantasy novel			united states	tor fantasy
Wolf's Blood	jane lindskold	fantasy novel			united states	tor fantasy
Real World (novel)	natsuo kirino	crime novel	208 pp (paperback edition), 224 pp (hardcover)		japan	vintage books
The Magician's Elephant	kate dicamillo	children's novel	208 pp.		united states	
STAR Academy (novel)	edward kay	children's novel	256		canada	doubleday canada
Animals in Translation	temple grandin  catherine johnson	non-fiction	356 pp.			
Cyber Rights	mike godwin	non-fiction	352		united states	times books
Eating Animals	jonathan safran foer	non-fiction	352 pages (hardcover)		united states	little, brown and company
Traveller Wedding	graham jones	novel	varies by format		ireland	
Stories of Your Life and Others	ted chiang	science fiction	333 pp (first edition, hardback)		united states	tor books
Rides a Dread Legion	raymond e. feist	fantasy	366  (first edition)		united states	harpervoyager
Star Wars Imperial Commando: 501st	karen traviss	science fiction	464		united states	del rey
Star Wars: Clone Wars Gambit: Stealth	karen miller	science fiction	432 (first edition)		united states	lucasbooks
Fire Angels	jane routley	fantasy novel	436 pp (first edition)		australia	avon eos
Aramaya	jane routley	fantasy	278 pp (first edition)		australia	avon eos
Enchanter (novel)	sara douglass	fantasy	672 (first edition)		australia	voyager
StarMan	sara douglass	fantasy	704 pp (first edition)		australia	voyager
Eve's Seed	robert s. mcelvaine	non-fiction	453		united states	mcgraw-hill
A Dark Winter	dave luckett	fantasy	328 pp (first edition)		australia	omnibus books
The Storm Weaver and the Sand	sean williams	fantasy	674 pp (first edition)		australia	voyager
The Crooked Letter	sean williams	fantasy	640 pp (first edition)		australia	voyager
The Two Pearls of Wisdom	alison goodman	fantasy	674 pp (first edition)		australia	harpercollins
Mus of Kerbridge	paul kidd	fantasy			australia	tsr
Search for Senna	k. a. applegate	science fiction novel			united states	scholastic
The Eagle's Prophecy	simon scarrow	historical novel			united kingdom	headline (uk)
The Gladiator (Scarrow novel)	simon scarrow	historical novel	320		united kingdom	headline (uk)
The Last Wizard	tony shillitoe	fantasy	436 pp (first edition)		australia	pan macmillan
The Singing Tree	kate seredy	children's novel	247 pp		united states	viking books
Stardance	spider robinson  jeanne robinson	science fiction	278		usa	dial press  quantum
The Mirrored Heavens	david j. williams	science fiction	409(hardback 1st edition)		united states	bantam spectra
Singularity's Ring	paul melko	science fiction	320 pp. (hardback 1st edition)		united states	tor books
The Silver Pencil	alice dalgliesh	children's novel	256		united states	
Seabird (novel)	holling clancy holling	children's novel	64		united states	
Band of Brothers (book)	stephen e. ambrose	non-fiction	336		united states	touchstone (simon  &  schuster)
Colors in the Dreamweaver's Loom	beth hilgartner	fantasy novel	241 pp		united states	houghton mifflin
Angel of Ruin	kim wilkins	fantasy	518 pp (first edition)		australia	voyager
Ballroom of the Skies	john d. macdonald	science fiction novel			united states	fawcett publications
Coders at work	peter seibel	non-fiction				apress
Born of the Sea	victor kelleher	fantasy	674 pp (first edition)		australia	viking press
Night Passage (novel)	robert b. parker	crime novel	322		united states	putnam
Iorich	steven brust	fantasy novel	319 (1st ed., hardback)		united states	tor books
Brooklyn (novel)	colm tóibín	novel	256 pp (hardback)		ireland	viking
Trouble in Paradise (Parker novel)	robert b. parker	crime novel	324		united states	putnam
Bed of Roses (novel)	nora roberts	fiction				berkley books
Gone (Kellerman novel)	jonathan kellerman	crime novel	365		united states	ballantine
Game Change	john heilemann and mark halperin	non-fiction			united states	harpercollins
The Burning Land	bernard cornwell	historical novel	366 first edition, hardback		united kingdom	harpercollins
Eclipse (Bedford novel)	k. a. bedford	science fiction	309 (first edition)		canada	edge science fiction and fantasy publishing
Love, A Rather Bad Idea	anirban mukherjee	fiction	220		india	srishti publishers, new delhi
Time Machines Repaired While-U-Wait	k. a. bedford	science fiction	320 (first edition)		australia	edge science fiction and fantasy publishing
The Winter Journey (novel)	amélie nothomb	novel	120		belgium	
Metal Fatigue (novel)	sean williams	science fiction	458 (first edition)		australia	harpercollins
The Dark Imbalance	sean williams  shane dix	science fiction	388 (first edition)		australia	voyager
Death in Paradise (novel)	robert b. parker	crime novel	320		united states	putnam
The Star-Crowned Kings	rob chilson	science fiction	188		united states	daw books
Days of Atonement	michael gregorio	crime novel	443 pp		united kingdom	faber and faber
Prelude to Christopher	eleanor dark	novel	317		australia	p. r. stephensen, australia
Alice in Verse: The Lost Rhymes of Wonderland	j.t. holden	fantasy novel	112 pp			candleshoe books
The White Abacus	damien broderick	science fiction	342 (first edition)		united states	avon eos
Transcension (novel)	damien broderick	science fiction	432 (first edition)		united states	tor books
Good in Bed	jennifer weiner	fiction			united states	washington square press
Tokyo Fiancée	amélie nothomb	novel	238		belgium	
Of Course I Love You ..! Till I Find Someone Better	durjoy datta, maanvi ahuja	fiction	240		india	grapevine india publishers
Less Than Human (novel)	maxine mcarthur	science fiction	400 (first edition)		united states	warner aspect
The Adventures of Philip	william makepeace thackeray	novel			united kingdom	cornhill magazine
K-Machines	damien broderick	science fiction	336 (first edition)		united states	thunder's mouth press
Keeping It Real (novel)	justina robson	science fiction			united kingdom	gollancz
The Atlantis Revelation	thomas greanias	novel			united states	pocket star
Swords Against Death	fritz leiber	fantasy	251 p.		united states	ace books
Swords in the Mist	fritz leiber	fantasy	190 p.		united states	ace books
Swords Against Wizardry	fritz leiber	fantasy	188 p.		united states	ace books
The Swords of Lankhmar	fritz leiber	fantasy	224 p.		united states	ace books
Swords and Ice Magic	fritz leiber	fantasy	243 p.		united states	ace books
The Knight and Knave of Swords	fritz leiber	fantasy	303 p.		united states	william morrow
Fermat's Last Theorem (book)	simon singh	non-fiction				fourth estate ltd
Swords Against the Shadowland	robin wayne bailey	fantasy	244 p.		united states	white wolf
The Novel	james michener	historical novel	446 pp.		united states	random house
I Am Ozzy		non-fiction	416 pp		united states	grand central publishing
The Complete Cosmicomics	italo calvino	science fiction			italy (first)	penguin books (uk)
The Big Book (Alcoholics Anonymous)	bill w.	non-fiction			united states	alcoholics anonymous world services
High Profile	robert b. parker	crime novel	304		united states	putnam
Save the Deli	david sax	non-fiction			united states	houghton mifflin harcourt
The Eagle and the Raven	james michener	historical novel	214pp.		united states	state house press
There Will Be Time	poul anderson	science fiction	181 pp		united states	doubleday (h/b)  new american library (p/b)
Wonders of a Godless World	andrew mcgahan	science fiction	260 (first edition)		australia	allen  &  unwin
Recessional (novel)	james a. michener	fiction	484pp.		united states	random house
The Real Global Warming Disaster	christopher booker	non-fiction	368 pages		united kingdom	continuum
South Pacific (novel)	james michener	historical novel	40		united states	gulliver books
My Lost Mexico	james michener	non-fiction	165pp.		united states	state house press, austin, texas
Miracle in Seville	james michener	historical novel	107pp.		united states	random house
Matecumbe (novel)	james michener	historical novel	165pp.		united states	university of florida press
The Devil's Wind	manohar malgonkar	historical novel	306		india	hamish hamilton
The Einstein Girl	philip sington	novel	400		uk	harvill secker
Salvation on Sand Mountain	dennis covington	non-fiction	272 pp		united states	addison-wesley
Particle Dark Matter	gianfranco bertone	non-fiction	762 pp.		united kingdom	cambridge university press
The Art of Avatar	lisa fitzpatrick,   peter jackson (preface),   jon landau (foreword),   james cameron (epilogue)	non-fiction	108 pp.		united states	
Le Chasseur Zéro	pascale roze	novel	163		france	
Blue Screen (novel)	robert b. parker	crime novel	320		united states	berkley books
Doctor to the Barrios	juan m. flavier	non-fiction			philippines	
The BLT Cookbook	michele anna jordan	non-fiction	160		united states	william morrow cookbooks
World of Warcraft: Arthas: Rise of the Lich King	christie golden	fantasy novel	312 pp		united states	pocket books
Sweets and Other Stories	andre williams	novel	103 pp		united states	kicks books, norton records
Santa Olivia	jacqueline carey	science fiction	352 pp		united states	grand central publishing
Heroes and Horrors	fritz leiber	fantasy	237 p.		united states	whispers press
Blackout/All Clear	connie willis	science fiction	blackout – 512 pages  all clear – 656 pages		united states	spectra
The Unfinished Revolution	michael dertouzos	non-fiction	224			harpercollins
The Devil and Sherlock Holmes	david grann	non-fiction	350 pp		united states	doubleday
The Zen of CSS Design	dave shea and molly e. holzschlag	non-fiction	304			peachpit press
Danny Dunn and the Heat Ray	raymond abrashkin  jay williams	science fiction	144			
Spare Change (novel)	robert b. parker	crime novel	304		united states	berkley books
Danny Dunn on a Desert Island	raymond abrashkin  jay williams	science fiction	159			
Fire (Cashore novel)	kristin cashore	fantasy	480 (first edition, hardcover)		united states	penguin group
Stranger in Paradise (novel)	robert b. parker	crime novel	304		united states	putnam
Song for the Basilisk	patricia a. mckillip	fantasy	314		united states	ace books
Bug Jack Barron	norman spinrad	science fiction	372 pp		united states	walker  &  co.
No One Would Listen	harry markopolos	non-fiction	376		united states	wiley
On Parole (novel)	akira yoshimura	fiction	approx. 256		japan	
Tara of the Twilight	lin carter	fantasy novel	288 pp		united states	zebra books
Bacon and Hams	george j. nicholls	non-fiction			united kingdom	institute of certificated grocers
Dominant Species (novel)	michael e. marks	science fiction novel	326 pp		united states	centurion
Space Opera (1974 anthology)		science fiction	324		united states	futura
Space Opera (1996 anthology)		science fiction	400		united states	daw books
The Man Who (Thought He) Looked Like Robert Taylor	bienvenido santos	fiction			philippines	
The Woman Who Had Two Navels	nick joaquin	fiction			philippines	
Biggest Elvis: A Novel	p. f. kluge	fiction	341		united states	penguin
The Birthing of Hannibal Valdez	alfrredo navarro salanga	fiction			philippines	
Women of the Apocalypse	eileen bell, roxanne felix, billie milholland, ryan t. mcfadden	fantasy	242		canada	absolute xpress (an imprint of hades publications)
Cave and Shadows	nick joaquin	fiction			philippines	
The Running Man (novel)	stephen king (as richard bachman)	science fiction	317		united states	
The Judging Eye	r. scott bakker	fantasy novel	448 (paperback)		canada	overlook press (us)    &  orbit (uk)
Have a Little Faith (book)	mitch albom	non-fiction			united states	
The Right to Write	julia cameron	non-fiction	233pp		united states	penguin putnam inc.
Le Miroir de Cassandre	bernard werber	novel	631		france, paris	
Rosapenna	ola bauer	novel			norway	
Humlehjertene	ola bauer	novel			norway	
Palos of the Dog Star Pack	john ulrich giesy	science fiction novel	192		united states	avalon books
The Battle (Patrick Rimbaud novel)	patrick rambaud	historical novel	313 p.		france	edition grasset et fassquelle (france), grove press (us translation)
State of War (novel)	ninotchka rosca	fiction	382		united states	1988 ed - w.w. norton  1990 ed - simon  &  schuster
Bamboo in the Wind	azucena grajo uranza	fiction			philippines	
‘GAPÔ	lualhati bautista	fiction	152		philippines	
Alice's Adventures in Wonderland Retold in Words of One Syllable	lewis carroll	fantasy novel	106 p.		united states	a. l. burt company
Twice Blessed	ninotchka rosca	fiction	269		united states	norton
Viajero	f. sionil josé	fiction			philippines	solidaridad publishing house, inc. (philippines)
Mass (novel)	f. sionil josé	fiction			philippines	solidaridad publishing house, inc. (philippines)
Tree (novel)	f. sionil josé	fiction			philippines	solidaridad publishing house, inc. (philippines)
The Rosales Saga	f. sionil josé	fiction			philippines	solidaridad publishing house, inc. (philippines)
Dark Princess	w. e. b. du bois	fiction	311 pp		united states	
The Mouthpiece of Zitu	john ulrich giesy	science fiction novel			united states	avalon books
Jason, Son of Jason	john ulrich giesy	science fiction novel			united states	avalon books
Night and Day (Parker novel)	robert b. parker	crime novel	304		united states	putnam
In the Claws of Brightness	edgardo m. reyes	fiction			philippines	de la salle university press
Split Image (novel)	robert b. parker	crime novel			united states	putnam
